,col_1,col_2,Target,Target_Spurious
0,0.06052,0.9395,1,1
1,0.4495,0.551,1,0
2,0.2925,0.7075,1,1
3,0.0678,0.932,1,1
4,0.802,0.1981,1,0
5,0.74,0.2598,1,0
6,0.7866,0.2134,1,0
7,0.4727,0.5273,1,0
8,0.03308,0.967,1,1
9,0.0526,0.9473,1,1
10,0.6387,0.361,1,0
11,0.372,0.628,1,1
12,0.3452,0.655,1,1
13,0.0336,0.9663,1,1
14,0.11127,0.8887,1,1
15,0.832,0.1677,1,0
16,0.8726,0.1277,1,0
17,0.09534,0.905,1,1
18,0.63,0.37,1,0
19,0.551,0.4495,1,1
20,0.8257,0.1744,1,0
21,0.10895,0.891,1,1
22,0.3486,0.6514,1,0
23,0.7505,0.2494,1,0
24,0.885,0.1152,1,0
25,0.9526,0.04742,1,0
26,0.8223,0.1779,1,0
27,0.3276,0.6724,1,1
28,0.875,0.1251,1,0
29,0.7607,0.2394,1,0
30,0.886,0.1136,1,0
31,0.508,0.4922,1,0
32,0.7563,0.2437,1,0
33,0.2422,0.758,1,1
34,0.251,0.749,1,0
35,0.758,0.2422,1,0
36,0.0742,0.926,1,1
37,0.1956,0.804,1,1
38,0.04794,0.952,1,1
39,0.6895,0.3108,1,0
40,0.2018,0.7983,1,1
41,0.2173,0.7827,1,0
42,0.455,0.545,1,1
43,0.5776,0.4226,1,0
44,0.772,0.2281,1,0
45,0.2351,0.7646,1,0
46,0.0248,0.975,1,1
47,0.1225,0.8774,1,1
48,0.6333,0.3667,1,0
49,0.6206,0.3794,1,0
50,0.6245,0.3757,1,0
51,0.746,0.254,1,0
52,0.04794,0.952,1,1
53,0.1289,0.871,1,1
54,0.3328,0.667,1,0
55,0.684,0.3157,1,0
56,0.1082,0.8916,1,1
57,0.3647,0.6353,1,1
58,0.1312,0.8687,1,1
59,0.6113,0.3887,1,0
60,0.4922,0.508,1,0
61,0.1592,0.841,1,1
62,0.1635,0.8364,1,1
63,0.1394,0.861,1,1
64,0.6074,0.3923,1,0
65,0.7593,0.2407,1,0
66,0.3242,0.676,1,1
67,0.9014,0.09875,1,0
68,0.691,0.309,1,0
69,0.299,0.7007,1,1
70,0.0833,0.9165,1,1
71,0.1451,0.855,1,1
72,0.0845,0.9155,1,1
73,0.1993,0.801,1,1
74,0.852,0.1481,1,0
75,0.0845,0.9155,1,1
76,0.632,0.3684,1,0
77,0.769,0.231,1,0
78,0.7705,0.2295,1,0
79,0.6724,0.3276,1,0
80,0.696,0.304,1,0
81,0.212,0.788,1,1
82,0.074,0.9263,1,1
83,0.0592,0.941,1,1
84,0.5176,0.4824,1,0
85,0.749,0.251,1,0
86,0.08154,0.9185,1,1
87,0.0637,0.9365,1,1
88,0.8276,0.1721,0,0
89,0.3057,0.6943,0,1
90,0.922,0.07806,0,0
91,0.2255,0.7744,0,1
92,0.212,0.788,0,1
93,0.4167,0.583,0,1
94,0.0354,0.9644,0,1
95,0.7476,0.2524,0,0
96,0.95,0.0496,0,0
97,0.855,0.1451,0,0
98,0.97,0.02975,0,0
99,0.7637,0.2366,0,0
100,0.814,0.1859,0,0
101,0.2861,0.714,0,1
102,0.1766,0.823,0,1
103,0.9497,0.05032,0,0
104,0.8345,0.1656,0,0
105,0.03705,0.963,0,1
106,0.1744,0.8257,0,1
107,0.09467,0.9053,0,1
108,0.923,0.07697,0,0
109,0.9683,0.03162,0,0
110,0.86,0.1404,0,0
111,0.801,0.1993,0,0
112,0.2494,0.7505,0,1
113,0.875,0.1251,0,0
114,0.885,0.1152,0,0
115,0.743,0.2568,0,0
116,0.8706,0.1294,0,0
117,0.9683,0.03186,0,0
118,0.0882,0.9116,1,1
119,0.09467,0.9053,1,1
120,0.07263,0.9272,1,1
121,0.2494,0.7505,1,1
122,0.7646,0.2351,1,0
123,0.09467,0.9053,1,1
124,0.5527,0.4475,1,0
125,0.7446,0.2554,1,0
126,0.2568,0.743,1,1
127,0.0732,0.927,1,1
128,0.8345,0.1656,1,0
129,0.37,0.63,1,1
130,0.797,0.2031,1,0
131,0.856,0.1442,1,0
132,0.502,0.498,1,0
133,0.4785,0.5215,1,1
134,0.8765,0.12335,1,0
135,0.1023,0.8975,1,1
136,0.615,0.385,1,0
137,0.0786,0.9214,1,1
138,0.3025,0.6978,1,1
139,0.4668,0.533,1,0
140,0.2766,0.723,1,1
141,0.723,0.2766,1,0
142,0.3577,0.6426,1,1
143,0.549,0.4514,1,0
144,0.1101,0.89,1,1
145,0.5776,0.4226,1,0
146,0.628,0.372,1,0
147,0.1824,0.8174,1,1
148,0.679,0.3208,1,0
149,0.1481,0.852,1,1
150,0.813,0.1871,1,0
151,0.103,0.897,1,1
152,0.6094,0.3904,1,1
153,0.2861,0.714,1,1
154,0.4055,0.5947,1,0
155,0.1907,0.809,1,1
156,0.2925,0.7075,1,1
157,0.11597,0.8843,1,1
158,0.5527,0.4475,1,0
159,0.714,0.2861,1,0
160,0.793,0.2069,1,0
161,0.832,0.1677,1,0
162,0.457,0.543,1,0
163,0.684,0.3157,1,0
164,0.3943,0.606,1,0
165,0.398,0.602,1,1
166,0.3887,0.6113,1,1
167,0.04193,0.958,1,1
168,0.103,0.897,1,1
169,0.1136,0.886,1,1
170,0.7373,0.263,1,0
171,0.734,0.2659,1,0
172,0.1531,0.847,1,1
173,0.1152,0.885,1,1
174,0.0716,0.928,1,1
175,0.398,0.602,1,0
176,0.10895,0.891,1,1
177,0.851,0.149,1,0
178,0.1755,0.824,1,1
179,0.1105,0.8896,1,1
180,0.572,0.4282,1,0
181,0.03235,0.968,1,1
182,0.893,0.1067,1,0
183,0.868,0.1321,1,0
184,0.8115,0.1884,0,0
185,0.928,0.0716,0,0
186,0.897,0.103,0,0
187,0.08386,0.916,0,1
188,0.6426,0.3577,0,1
189,0.15,0.85,0,1
190,0.4358,0.564,0,1
191,0.766,0.2338,0,0
192,0.1277,0.8726,0,1
193,0.1312,0.8687,0,1
194,0.3577,0.6426,0,1
195,0.7983,0.2018,0,0
196,0.859,0.1412,0,0
197,0.434,0.566,0,1
198,0.8955,0.1045,0,0
199,0.3123,0.6875,0,1
200,0.537,0.463,0,0
201,0.7983,0.2018,0,0
202,0.9478,0.05225,0,0
203,0.0721,0.9277,0,1
204,0.1656,0.8345,0,1
205,0.319,0.6807,0,1
206,0.1097,0.89,0,1
207,0.055,0.945,0,1
208,0.4282,0.572,0,1
209,0.813,0.1871,0,0
210,0.3157,0.684,0,1
211,0.3208,0.679,0,1
212,0.7993,0.2006,0,0
213,0.9224,0.0775,0,0
214,0.1268,0.873,0,1
215,0.171,0.829,0,1
216,0.547,0.4534,0,0
217,0.847,0.1531,0,0
218,0.821,0.179,0,0
219,0.2295,0.7705,0,1
220,0.6494,0.3503,0,0
221,0.1561,0.8438,0,1
222,0.08386,0.916,0,1
223,0.4377,0.562,0,1
224,0.535,0.4648,0,1
225,0.797,0.2031,0,0
226,0.888,0.112,0,0
227,0.1624,0.8374,0,1
228,0.4263,0.5737,0,1
229,0.849,0.151,0,0
230,0.4824,0.5176,0,0
231,0.855,0.1451,0,0
232,0.7773,0.2227,0,0
233,0.9014,0.09875,0,0
234,0.7607,0.2394,0,0
235,0.09875,0.9014,0,1
236,0.1294,0.8706,0,1
237,0.1412,0.859,0,1
238,0.821,0.179,0,0
239,0.859,0.1412,0,0
240,0.7534,0.2466,0,0
241,0.2644,0.736,0,1
242,0.893,0.1067,0,0
243,0.941,0.0592,0,0
244,0.885,0.1152,0,0
245,0.762,0.2379,0,0
246,0.8457,0.154,0,0
247,0.543,0.457,0,0
248,0.7744,0.2255,0,0
249,0.8965,0.10376,0,0
250,0.916,0.08386,0,0
251,0.3416,0.658,0,1
252,0.8916,0.1082,0,0
253,0.171,0.829,0,1
254,0.8843,0.11597,0,0
255,0.3433,0.6567,0,1
256,0.09204,0.908,0,1
257,0.8965,0.10376,0,0
258,0.6406,0.3594,0,0
259,0.1329,0.867,0,1
260,0.925,0.0753,0,0
261,0.7534,0.2466,0,0
262,0.9326,0.06757,0,0
263,0.8823,0.11755,0,0
264,0.09705,0.903,0,1
265,0.955,0.04468,0,0
266,0.2379,0.762,0,0
267,0.08154,0.9185,0,1
268,0.9253,0.07477,0,0
269,0.1766,0.823,0,1
270,0.0661,0.934,0,1
271,0.0511,0.9487,0,1
272,0.8784,0.1217,0,0
273,0.854,0.1461,0,0
274,0.51,0.4902,0,1
275,0.1152,0.885,0,1
276,0.8823,0.11755,0,0
277,0.5566,0.4436,0,1
278,0.383,0.6167,0,1
279,0.6,0.4,0,1
280,0.0753,0.925,0,1
281,0.1285,0.8716,0,1
282,0.2737,0.7266,0,1
283,0.2006,0.7993,0,1
284,0.1217,0.8784,0,1
285,0.914,0.0857,0,0
286,0.9365,0.06323,0,0
287,0.847,0.1531,0,0
288,0.541,0.459,0,1
289,0.851,0.149,0,0
290,0.731,0.269,0,1
291,0.83,0.1699,0,0
292,0.2422,0.758,0,1
293,0.84,0.1603,0,0
294,0.2006,0.7993,0,1
295,0.5547,0.4456,0,0
296,0.7676,0.2323,0,0
297,0.1699,0.83,0,1
298,0.8267,0.1733,0,0
299,0.0786,0.9214,0,1
300,0.1824,0.8174,0,1
301,0.851,0.149,0,0
302,0.1824,0.8174,0,1
303,0.78,0.22,0,0
304,0.928,0.0716,0,0
305,0.692,0.308,0,1
306,0.2302,0.7695,0,1
307,0.1067,0.893,0,1
308,0.915,0.0851,0,0
309,0.1848,0.8154,0,1
310,0.926,0.0742,0,0
311,0.853,0.1471,0,0
312,0.7534,0.2466,0,1
313,0.8154,0.1848,0,0
314,0.9585,0.04147,0,0
315,0.89,0.1097,0,0
316,0.895,0.1052,0,0
317,0.3523,0.648,0,1
318,0.935,0.0651,0,0
319,0.947,0.0534,0,0
320,0.37,0.63,0,1
321,0.6655,0.3345,0,0
322,0.882,0.1184,0,0
323,0.907,0.0927,0,0
324,0.05966,0.9404,0,1
325,0.1981,0.802,0,1
326,0.6387,0.361,0,0
327,0.8833,0.11676,0,0
328,0.269,0.731,0,1
329,0.704,0.296,0,0
330,0.05624,0.944,0,1
331,0.9,0.10016,0,0
332,0.8887,0.11127,0,0
333,0.4883,0.5117,0,1
334,0.0845,0.9155,0,1
335,0.4688,0.5312,0,0
336,0.1813,0.819,0,1
337,0.8843,0.11597,0,0
338,0.3887,0.6113,0,1
339,0.803,0.1968,0,0
340,0.1571,0.843,0,1
341,0.89,0.1097,0,0
342,0.942,0.05835,0,0
343,0.832,0.1677,0,0
344,0.8643,0.1357,0,0
345,0.6206,0.3794,0,1
346,0.0546,0.9453,0,1
347,0.05878,0.9414,0,1
348,0.1225,0.8774,0,1
349,0.463,0.537,0,1
350,0.8276,0.1721,0,0
351,0.879,0.12085,0,0
352,0.3577,0.6426,0,1
353,0.801,0.1993,0,1
354,0.8984,0.10156,0,0
355,0.1779,0.8223,0,1
356,0.4226,0.5776,0,1
357,0.3328,0.667,0,1
358,0.1993,0.801,0,1
359,0.4883,0.5117,0,1
360,0.606,0.3943,0,0
361,0.655,0.3452,0,1
362,0.1404,0.86,0,1
363,0.6567,0.3433,0,0
364,0.6353,0.3647,0,1
365,0.05966,0.9404,0,1
366,0.0876,0.9126,0,1
367,0.784,0.2161,0,0
368,0.8975,0.1023,0,0
369,0.1733,0.8267,0,1
370,0.251,0.749,0,1
371,0.1404,0.86,0,1
372,0.9326,0.06757,0,0
373,0.7295,0.2705,0,0
374,0.858,0.1422,0,0
375,0.7476,0.2524,0,0
376,0.1666,0.8335,0,1
377,0.736,0.2644,0,0
378,0.905,0.09534,0,0
379,0.103,0.897,0,1
380,0.05185,0.948,0,1
381,0.855,0.1451,0,0
382,0.2186,0.7812,0,1
383,0.10895,0.891,0,1
384,0.8345,0.1656,0,0
385,0.4358,0.564,0,1
386,0.852,0.1481,0,0
387,0.753,0.2473,0,0
388,0.8267,0.1733,0,0
389,0.7295,0.2705,0,0
390,0.857,0.1432,0,0
391,0.684,0.3157,0,0
392,0.2583,0.7417,0,1
393,0.1931,0.8066,0,1
394,0.396,0.604,0,1
395,0.84,0.1603,0,1
396,0.1268,0.873,0,1
397,0.9355,0.06464,0,0
398,0.728,0.272,0,0
399,0.874,0.126,0,0
400,0.893,0.1067,0,0
401,0.4167,0.583,0,1
402,0.9106,0.0891,0,0
403,0.4226,0.5776,0,1
404,0.848,0.152,0,0
405,0.839,0.1614,0,0
406,0.543,0.457,0,1
407,0.784,0.2161,0,0
408,0.4282,0.572,0,1
409,0.1294,0.8706,0,1
410,0.8926,0.1074,0,0
411,0.776,0.224,0,0
412,0.9243,0.07587,0,0
413,0.9053,0.09467,0,0
414,0.8354,0.1646,0,0
415,0.1531,0.847,0,1
416,0.785,0.2147,0,1
417,0.861,0.1394,0,0
418,0.2394,0.7607,0,1
419,0.1859,0.814,0,1
420,0.8354,0.1646,0,0
421,0.9116,0.0882,0,0
422,0.7866,0.2134,0,0
423,0.902,0.0981,0,0
424,0.1919,0.808,0,1
425,0.1592,0.841,0,1
426,0.3416,0.658,0,1
427,0.7124,0.2878,0,0
428,0.743,0.2568,0,0
429,0.1896,0.8105,0,1
430,0.314,0.686,0,1
431,0.8154,0.1848,0,0
432,0.9224,0.0775,0,0
433,0.502,0.498,0,1
434,0.154,0.8457,0,1
435,0.1357,0.8643,0,1
436,0.3794,0.6206,0,1
437,0.8984,0.10156,0,0
438,0.1699,0.83,0,1
439,0.2893,0.7104,0,1
440,0.2069,0.793,0,1
441,0.2422,0.758,0,1
442,0.2366,0.7637,0,1
443,0.331,0.669,0,1
444,0.848,0.152,0,0
445,0.8306,0.1694,0,0
446,0.7637,0.2366,0,0
447,0.463,0.537,0,1
448,0.4668,0.533,0,1
449,0.1422,0.858,0,1
450,0.4941,0.506,0,1
451,0.7563,0.2437,0,1
452,0.848,0.152,0,0
453,0.918,0.0821,0,0
454,0.9365,0.06323,0,0
455,0.545,0.455,0,1
456,0.4902,0.51,0,1
457,0.372,0.628,0,1
458,0.2213,0.779,0,1
459,0.496,0.504,0,1
460,0.434,0.566,0,1
461,0.299,0.7007,0,1
462,0.094,0.906,0,1
463,0.2554,0.7446,0,1
