,Unnamed: 0,Keyword,Score,Acc.,Bias
0,3,beach,2.578,0.7272727272727273,S
1,8,seagull,2.469,0.6,S
2,5,water,1.266,0.6829268292682927,S
3,11,lake,1.031,0.7777777777777778,S
4,16,rocks,1.031,0.7692307692307693,S
5,10,sky,0.4688,0.7333333333333333,S
6,14,city,0.2812,0.5714285714285714,S
7,12,dog,0.2188,0.3333333333333333,S
8,6,person,-0.1562,0.8115942028985508,
9,15,tail,-0.2031,0.0,
10,0,biological species,-0.3594,0.9391480730223124,
11,7,flies,-0.3594,0.5454545454545454,
12,2,biological,-0.4844,0.9393939393939394,
13,17,species in flight,-0.578,0.75,
14,18,pond,-0.6094,0.9,
15,9,bird flies,-0.625,0.7142857142857143,
16,1,species,-0.6875,0.9392712550607288,
17,4,bird,-1.5625,0.9330985915492958,
18,13,bird sits,-1.781,0.0,
19,19,branch,-1.797,0.9508196721311476,
