,image,actual,group,spurious,svm_score
0,182638.jpg,0,0,0,-0.80876184
1,182639.jpg,0,0,0,3.0440168
2,182640.jpg,0,0,0,-0.36711103
3,182641.jpg,0,0,0,1.2848392
4,182642.jpg,0,0,0,1.9518361
5,182643.jpg,0,1,1,1.9375194
6,182644.jpg,0,1,1,1.9713159
7,182645.jpg,0,0,0,0.8885011
8,182646.jpg,0,0,0,0.9827393
9,182647.jpg,0,1,1,2.2927413
10,182648.jpg,0,1,1,2.0032442
11,182649.jpg,0,1,1,1.4924182
12,182650.jpg,0,0,0,0.120118864
13,182651.jpg,0,0,0,1.6021185
14,182652.jpg,0,1,1,2.1979518
15,182653.jpg,0,1,1,1.4704639
16,182654.jpg,1,2,0,1.19957
17,182655.jpg,0,0,0,0.2086897
18,182656.jpg,0,0,0,2.2695365
19,182657.jpg,0,0,0,-0.9453551
20,182658.jpg,0,0,0,1.4716475
21,182659.jpg,0,0,0,1.3062217
22,182660.jpg,0,0,0,1.9143778
23,182661.jpg,0,1,1,-0.6080155
24,182662.jpg,0,1,1,1.7296758
25,182663.jpg,0,0,0,1.6808484
26,182664.jpg,0,1,1,0.40733597
27,182665.jpg,0,1,1,1.381746
28,182666.jpg,0,1,1,1.7158365
29,182667.jpg,0,0,0,2.0738187
30,182668.jpg,1,2,0,-0.8982857
31,182669.jpg,0,1,1,1.5478548
32,182670.jpg,0,0,0,1.0745873
33,182671.jpg,0,0,0,2.0011072
34,182672.jpg,0,1,1,1.3286222
35,182673.jpg,0,1,1,1.9990883
36,182674.jpg,0,1,1,1.4626509
37,182675.jpg,0,1,1,2.2998614
38,182676.jpg,0,1,1,1.6948228
39,182677.jpg,0,0,0,2.5089653
40,182678.jpg,0,0,0,-0.8437133
41,182679.jpg,0,0,0,1.6032889
42,182680.jpg,0,0,0,2.2578995
43,182681.jpg,0,1,1,1.1884836
44,182682.jpg,0,1,1,1.9751029
45,182683.jpg,1,2,0,0.35273418
46,182684.jpg,1,2,0,1.8969505
47,182685.jpg,0,1,1,1.7566328
48,182686.jpg,0,1,1,1.8347783
49,182687.jpg,0,1,1,1.8510245
50,182688.jpg,0,0,0,2.6529236
51,182689.jpg,0,1,1,3.199936
52,182690.jpg,1,2,0,1.4090168
53,182691.jpg,1,2,0,0.79296416
54,182692.jpg,0,0,0,1.8101985
55,182693.jpg,0,1,1,1.7182068
56,182694.jpg,0,1,1,2.2904942
57,182695.jpg,1,2,0,3.3199918
58,182696.jpg,0,0,0,-1.0758685
59,182697.jpg,0,1,1,1.8938636
60,182698.jpg,0,0,0,1.3530551
61,182699.jpg,0,0,0,-1.3981782
62,182700.jpg,0,0,0,1.0781088
63,182701.jpg,0,0,0,0.67917025
64,182702.jpg,0,0,0,-1.4749901
65,182703.jpg,0,1,1,1.3778269
66,182704.jpg,0,1,1,2.787388
67,182705.jpg,1,2,0,1.3611866
68,182706.jpg,0,1,1,3.0881913
69,182707.jpg,0,0,0,0.4629933
70,182708.jpg,0,1,1,2.725361
71,182709.jpg,0,0,0,0.35811964
72,182710.jpg,0,0,0,1.1161613
73,182711.jpg,0,1,1,2.3225288
74,182712.jpg,0,0,0,1.8260465
75,182713.jpg,0,0,0,0.2324902
76,182714.jpg,0,0,0,0.6205204
77,182715.jpg,0,0,0,-0.103581406
78,182716.jpg,0,0,0,-1.2716728
79,182717.jpg,0,1,1,2.5048385
80,182718.jpg,1,2,0,0.23722208
81,182719.jpg,0,1,1,1.8252314
82,182720.jpg,0,1,1,2.718928
83,182721.jpg,0,0,0,1.8491473
84,182722.jpg,1,2,0,2.3696432
85,182723.jpg,0,1,1,0.817852
86,182724.jpg,0,0,0,1.1158946
87,182725.jpg,0,0,0,1.8816781
88,182726.jpg,0,1,1,1.9277773
89,182727.jpg,0,1,1,0.74423057
90,182728.jpg,0,1,1,1.6235783
91,182729.jpg,0,1,1,2.027128
92,182730.jpg,1,2,0,2.147671
93,182731.jpg,0,0,0,1.3964243
94,182732.jpg,0,0,0,1.7214483
95,182733.jpg,0,1,1,1.3588693
96,182734.jpg,0,0,0,1.9665235
97,182735.jpg,0,1,1,2.5063436
98,182736.jpg,0,0,0,0.81224173
99,182737.jpg,0,1,1,1.5020218
100,182738.jpg,0,0,0,1.6211525
101,182739.jpg,0,1,1,2.4879508
102,182740.jpg,0,0,0,-0.34158587
103,182741.jpg,0,0,0,2.3239012
104,182742.jpg,0,1,1,1.8097229
105,182743.jpg,0,0,0,-0.29433113
106,182744.jpg,0,1,1,2.2423575
107,182745.jpg,0,1,1,1.5782871
108,182746.jpg,0,1,1,2.751139
109,182747.jpg,0,1,1,2.4671268
110,182748.jpg,0,1,1,2.2629309
111,182749.jpg,0,0,0,1.2308973
112,182750.jpg,1,2,0,2.403295
113,182751.jpg,0,0,0,1.4821193
114,182752.jpg,0,0,0,0.32666215
115,182753.jpg,0,1,1,2.8801339
116,182754.jpg,0,0,0,-0.13751289
117,182755.jpg,0,0,0,1.5372905
118,182756.jpg,0,0,0,1.9435867
119,182757.jpg,0,0,0,2.5161264
120,182758.jpg,0,0,0,1.1628865
121,182759.jpg,0,0,0,-1.0192454
122,182760.jpg,0,0,0,2.390475
123,182761.jpg,0,1,1,1.5571387
124,182762.jpg,1,2,0,0.6797151
125,182763.jpg,1,2,0,2.1465333
126,182764.jpg,0,1,1,1.4633684
127,182765.jpg,0,0,0,2.0656774
128,182766.jpg,0,1,1,1.0874149
129,182767.jpg,0,0,0,1.0464921
130,182768.jpg,0,1,1,2.5062451
131,182769.jpg,0,0,0,0.9629239
132,182770.jpg,0,1,1,2.312604
133,182771.jpg,0,0,0,1.1054751
134,182772.jpg,0,1,1,1.6527364
135,182773.jpg,0,1,1,2.1869972
136,182774.jpg,0,0,0,1.2816645
137,182775.jpg,0,1,1,0.18116921
138,182776.jpg,0,1,1,1.5254651
139,182777.jpg,0,0,0,-0.9318922
140,182778.jpg,0,0,0,0.7124375
141,182779.jpg,0,0,0,1.958954
142,182780.jpg,0,1,1,2.2609107
143,182781.jpg,0,1,1,1.0606849
144,182782.jpg,0,1,1,0.7722804
145,182783.jpg,1,2,0,1.236207
146,182784.jpg,0,0,0,1.9680241
147,182785.jpg,1,2,0,-0.8889528
148,182786.jpg,0,1,1,2.7082257
149,182787.jpg,0,0,0,1.143218
150,182788.jpg,0,0,0,0.9405577
151,182789.jpg,0,0,0,1.6451422
152,182790.jpg,0,1,1,1.9243672
153,182791.jpg,0,1,1,2.5201883
154,182792.jpg,0,0,0,2.3431995
155,182793.jpg,0,1,1,1.4093947
