,image,actual,group,spurious,svm_score
0,001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,1,3,1,1.0171224
1,001.Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg,1,2,0,0.19334023
2,001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg,1,3,1,0.7588539
3,001.Black_footed_Albatross/Black_Footed_Albatross_0025_796057.jpg,1,3,1,0.83094686
4,001.Black_footed_Albatross/Black_Footed_Albatross_0086_796062.jpg,1,2,0,-0.75169545
5,001.Black_footed_Albatross/Black_Footed_Albatross_0049_796063.jpg,1,2,0,-0.28869182
6,001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg,1,2,0,-1.0365304
7,001.Black_footed_Albatross/Black_Footed_Albatross_0016_796067.jpg,1,2,0,-0.81046504
8,001.Black_footed_Albatross/Black_Footed_Albatross_0065_796068.jpg,1,3,1,0.7230719
9,001.Black_footed_Albatross/Black_Footed_Albatross_0042_796071.jpg,1,3,1,0.16326697
10,001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077.jpg,1,2,0,0.4122012
11,001.Black_footed_Albatross/Black_Footed_Albatross_0061_796082.jpg,1,3,1,0.78365767
12,001.Black_footed_Albatross/Black_Footed_Albatross_0008_796083.jpg,1,3,1,0.07830825
13,001.Black_footed_Albatross/Black_Footed_Albatross_0033_796086.jpg,1,3,1,1.0398202
14,001.Black_footed_Albatross/Black_Footed_Albatross_0024_796089.jpg,1,3,1,0.84794873
15,001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg,1,2,0,-0.34931755
16,001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg,1,2,0,-0.40065196
17,001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,1,3,1,0.48320308
18,001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,1,2,0,-0.44303778
19,001.Black_footed_Albatross/Black_Footed_Albatross_0053_796109.jpg,1,3,1,0.2651793
