,image,pred,logit_0,logit_1,actual,group,spurious,correct
0,182638.jpg,0,1.0345603227615356,-1.8127995729446411,0,0,0,1
1,182639.jpg,0,3.6994786262512207,-4.313626766204834,0,0,0,1
2,182640.jpg,0,0.1328566074371338,-0.8690328598022461,0,0,0,1
3,182641.jpg,0,2.089789867401123,-2.515516519546509,0,0,0,1
4,182642.jpg,0,3.2008931636810303,-3.718630075454712,0,0,0,1
5,182643.jpg,0,3.723545789718628,-4.048314094543457,0,1,1,1
6,182644.jpg,0,4.135737895965576,-4.59525728225708,0,1,1,1
7,182645.jpg,0,1.142905354499817,-2.06699538230896,0,0,0,1
8,182646.jpg,0,4.039606094360352,-4.477896213531494,0,0,0,1
9,182647.jpg,0,4.050653457641602,-4.599421977996826,0,1,1,1
10,182648.jpg,0,3.374802589416504,-3.9753363132476807,0,1,1,1
11,182649.jpg,0,3.0907273292541504,-3.968167304992676,0,1,1,1
12,182650.jpg,0,3.2743353843688965,-4.015683174133301,0,0,0,1
13,182651.jpg,0,4.052798271179199,-4.673040866851807,0,0,0,1
14,182652.jpg,0,3.658966064453125,-4.128344535827637,0,1,1,1
15,182653.jpg,0,3.433138370513916,-4.005148887634277,0,1,1,1
16,182654.jpg,1,-2.5327959060668945,1.7406991720199585,1,2,0,1
17,182655.jpg,0,1.794102668762207,-2.8073766231536865,0,0,0,1
18,182656.jpg,0,3.764200448989868,-4.187539100646973,0,0,0,1
19,182657.jpg,1,-1.5343433618545532,0.7536390423774719,0,0,0,0
20,182658.jpg,0,4.0582075119018555,-4.655184745788574,0,0,0,1
21,182659.jpg,0,2.9058635234832764,-3.439978837966919,0,0,0,1
22,182660.jpg,0,3.626311779022217,-4.422244071960449,0,0,0,1
23,182661.jpg,0,0.3804436922073364,-1.1498347520828247,0,1,1,1
24,182662.jpg,0,2.630153179168701,-3.680229425430298,0,1,1,1
25,182663.jpg,0,3.1651439666748047,-3.543572187423706,0,0,0,1
26,182664.jpg,0,1.2115148305892944,-1.8660684823989868,0,1,1,1
27,182665.jpg,0,3.2095510959625244,-4.267605781555176,0,1,1,1
28,182666.jpg,0,2.494029998779297,-3.2279231548309326,0,1,1,1
29,182667.jpg,0,3.6015548706054688,-3.9916136264801025,0,0,0,1
30,182668.jpg,1,-0.8035909533500671,0.3125588893890381,1,2,0,1
31,182669.jpg,0,2.5172605514526367,-2.7707278728485107,0,1,1,1
32,182670.jpg,0,4.397505760192871,-5.005250453948975,0,0,0,1
33,182671.jpg,0,5.075075149536133,-5.850392818450928,0,0,0,1
34,182672.jpg,0,3.2728946208953857,-3.538144826889038,0,1,1,1
35,182673.jpg,0,2.9059364795684814,-3.8867509365081787,0,1,1,1
36,182674.jpg,0,4.153119087219238,-4.365252494812012,0,1,1,1
37,182675.jpg,0,3.922837495803833,-4.308619022369385,0,1,1,1
38,182676.jpg,0,4.419025421142578,-5.049798488616943,0,1,1,1
39,182677.jpg,0,3.4074645042419434,-4.074167251586914,0,0,0,1
40,182678.jpg,0,0.9039119482040405,-1.1726014614105225,0,0,0,1
41,182679.jpg,0,2.9567184448242188,-3.293616771697998,0,0,0,1
42,182680.jpg,0,1.7017651796340942,-2.2160940170288086,0,0,0,1
43,182681.jpg,0,1.114336609840393,-1.8749052286148071,0,1,1,1
44,182682.jpg,0,2.937941312789917,-3.4268295764923096,0,1,1,1
45,182683.jpg,1,-0.9388092160224915,0.08482307940721512,1,2,0,1
46,182684.jpg,1,-1.9915248155593872,1.3075309991836548,1,2,0,1
47,182685.jpg,0,3.409764289855957,-3.9281914234161377,0,1,1,1
48,182686.jpg,0,3.5010900497436523,-3.699840784072876,0,1,1,1
49,182687.jpg,0,2.317018747329712,-2.820807933807373,0,1,1,1
50,182688.jpg,0,3.9304049015045166,-4.460158824920654,0,0,0,1
51,182689.jpg,0,4.964168071746826,-5.695361614227295,0,1,1,1
52,182690.jpg,1,-2.4808385372161865,1.8745189905166626,1,2,0,1
